"Subject.ID","Mind..E.vs..I.","Energy..S.vs..N.","Nature..T.vs..F.","Tactics..J.vs..P.","Identity..A.vs..T.","Experimenter","Treatment.vs..Control.","Circle.the.response.below.that.represents.your.gender.","Circle.the.response.that.represents.your.age.","Circle.the.response.that.best.represents.the.highest.level.of.education.completed.","When.studying.for.a.test..you...","When.you.are.learning.how.something.works..you...","When.you.read.for.fun..you.prefer...","Raw.Score","Adjusted.Score","Region"
200,"Extravert","Sensing","Thinking","Judging","Assertive","Chuck","Control","Female","18 to 30-years old","Associate's degree","Read notes, read headings in a book, and look at diagrams and illustrations.","Take it apart and try to figure it out for yourself.","A book where you answer questions and solve problems.",18,-4,"South Carolina"
201,"Introvert","Sensing","Feeling","Perceiving","Turbulent","Chuck","Control","Female","Greater than 45-years old","Associate's degree","Write things out on index cards, make models or diagrams.","Like to watch a video about it.","A book with lots of conversation.",17,1,"South Carolina"
202,"Extravert","Intuition","Feeling","Judging","Assertive","Chuck","Control","Male","18 to 30-years old","High school diploma or GED","Write things out on index cards, make models or diagrams.","Take it apart and try to figure it out for yourself.","A book with lots of pictures.",18,5,"South Carolina"
203,"Extravert","Sensing","Feeling","Judging","Assertive","Grace","Control","Male","Greater than 45-years old","High school diploma or GED","Read notes, read headings in a book, and look at diagrams and illustrations.","Listen to someone explain it.","A book where you answer questions and solve problems.",23,6,"South Carolina"
204,"Extravert","Sensing","Feeling","Perceiving","Assertive","Grace","Control","Female","Greater than 45-years old","Associate's degree","Read notes, read headings in a book, and look at diagrams and illustrations.","Like to watch a video about it.","A book with lots of conversation.",29,18,"South Carolina"
205,"Introvert","Sensing","Thinking","Judging","Assertive","Grace","Treatment","Female","Greater than 45-years old","High school diploma or GED","Read notes, read headings in a book, and look at diagrams and illustrations.","Like to watch a video about it.","A book with lots of conversation.",23,15,"South Carolina"
206,"Introvert","Sensing","Thinking","Judging","Turbulent","Grace","Treatment","Female","Greater than 45-years old","Master’s degree or higher","Write things out on index cards, make models or diagrams.","Like to watch a video about it.","A book with lots of conversation.",26,12,"South Carolina"
207,"Introvert","Sensing","Feeling","Perceiving","Turbulent","Chuck","Control","Male","31 to 45-years old","Bachelor’s degree","Read notes, read headings in a book, and look at diagrams and illustrations.","Take it apart and try to figure it out for yourself.","A book with lots of conversation.",28,16,"South Carolina"
208,"Introvert","Intuition","Feeling","Perceiving","Turbulent","Chuck","Treatment","Male","18 to 30-years old","High school diploma or GED","Read notes, read headings in a book, and look at diagrams and illustrations.","Listen to someone explain it.","A book where you answer questions and solve problems.",20,9,"South Carolina"
209,"Extravert","Intuition","Feeling","Judging","Turbulent","Chuck","Treatment","Male","18 to 30-years old","1 to 2 years of college, no Associate's degree","Like to have someone ask you questions or you repeat facts silently to yourself.","Like to watch a video about it.","A book with lots of conversation.",16,14,"South Carolina"
210,"Extravert","Sensing","Feeling","Judging","Assertive","Chuck","Control","Male","18 to 30-years old","1 to 2 years of college, no Associate's degree","Read notes, read headings in a book, and look at diagrams and illustrations.","Like to watch a video about it.","A book with lots of pictures.",26,12,"South Carolina"
211,"Introvert","Sensing","Feeling","Judging","Assertive","Chuck","Control","Male","18 to 30-years old","1 to 2 years of college, no Associate's degree","Like to have someone ask you questions or you repeat facts silently to yourself.","Take it apart and try to figure it out for yourself.","A book with lots of conversation.",27,14,"South Carolina"
212,"Introvert","Sensing","Thinking","Judging","Assertive","Chuck","Control","Male","31 to 45-years old","1 to 2 years of college, no Associate's degree","Like to have someone ask you questions or you repeat facts silently to yourself.","Listen to someone explain it.","A book where you answer questions and solve problems.",26,18,"South Carolina"
213,"Introvert","Intuition","Feeling","Perceiving","Turbulent","Chuck","Treatment","Male","18 to 30-years old","1 to 2 years of college, no Associate's degree","Like to have someone ask you questions or you repeat facts silently to yourself.","Take it apart and try to figure it out for yourself.","A book with lots of pictures.",16,5,"South Carolina"
214,"Extravert","Sensing","Feeling","Judging","Assertive","Chuck","Treatment","Male","31 to 45-years old","3 or more years of college, no Bachelor’s or Master’s degree","Read notes, read headings in a book, and look at diagrams and illustrations.","Like to watch a video about it.","A book with lots of conversation.",25,18,"South Carolina"
215,"Introvert","Sensing","Thinking","Judging","Assertive","Chuck","Control","Male","31 to 45-years old","1 to 2 years of college, no Associate's degree","Read notes, read headings in a book, and look at diagrams and illustrations.","Take it apart and try to figure it out for yourself.","A book where you answer questions and solve problems.",34,28,"South Carolina"
216,"Introvert","Sensing","Feeling","Judging","Assertive","Chuck","Treatment","Male","18 to 30-years old","High school diploma or GED","Read notes, read headings in a book, and look at diagrams and illustrations.","Take it apart and try to figure it out for yourself.","A book with lots of conversation.",27,14,"South Carolina"
217,"Introvert","Sensing","Feeling","Perceiving","Turbulent","Grace","Control","Female","Greater than 45-years old","High school diploma or GED","Like to have someone ask you questions or you repeat facts silently to yourself.","Like to watch a video about it.","A book with lots of conversation.",10,-16,"South Carolina"
218,"Extravert","Sensing","Feeling","Judging","Assertive","Grace","Control","Female","Greater than 45-years old","3 or more years of college, no Bachelor’s or Master’s degree","Write things out on index cards, make models or diagrams.","Like to watch a video about it.","A book with lots of conversation.",26,12,"South Carolina"
219,"Introvert","Sensing","Feeling","Judging","Assertive","Grace","Control","Female","Greater than 45-years old","Bachelor’s degree","Write things out on index cards, make models or diagrams.","Like to watch a video about it.","A book with lots of conversation.",32,24,"South Carolina"
220,"Extravert","Sensing","Feeling","Judging","Assertive","Grace","Treatment","Male","Greater than 45-years old","Master’s degree or higher","Write things out on index cards, make models or diagrams.","Like to watch a video about it.","A book where you answer questions and solve problems.",34,28,"South Carolina"
221,"Extravert","Intuition","Feeling","Judging","Turbulent","Grace","Control","Male","31 to 45-years old","1 to 2 years of college, no Associate's degree","Like to have someone ask you questions or you repeat facts silently to yourself.","Take it apart and try to figure it out for yourself.","A book with lots of conversation.",29,18,"South Carolina"
301,"Introvert","Intuition","Feeling","Perceiving","Assertive","Carter","Control","Male","18 to 30-years old","Master’s degree or higher","Like to have someone ask you questions or you repeat facts silently to yourself.","Listen to someone explain it.","A book with lots of pictures.",29,19,"Delaware"
303,"Introvert","Intuition","Feeling","Perceiving","Assertive","Carter","Control","Female","18 to 30-years old","Bachelor’s degree","Write things out on index cards, make models or diagrams.","Like to watch a video about it.","A book with lots of pictures.",30,20,"Delaware"
302,"Extravert","Sensing","Feeling","Judging","Turbulent","Carter","Treatment","Male","18 to 30-years old","Master’s degree or higher","Read notes, read headings in a book, and look at diagrams and illustrations.","Like to watch a video about it.","A book with lots of pictures.",24,8,"Delaware"
304,"Extravert","Intuition","Feeling","Judging","Assertive","Carter","Control","Female","18 to 30-years old","3 or more years of college, no Bachelor’s or Master’s degree","Like to have someone ask you questions or you repeat facts silently to yourself.","Listen to someone explain it.","A book with lots of conversation.",31,22,"Delaware"
305,"Extravert","Intuition","Feeling","Perceiving","Turbulent","Carter","Treatment","Male","18 to 30-years old","Bachelor’s degree","Write things out on index cards, make models or diagrams.","Like to watch a video about it.","A book where you answer questions and solve problems.",19,12,"Delaware"
306,"Introvert","Sensing","Feeling","Judging","Turbulent","Carter","Treatment","Female","18 to 30-years old","Master’s degree or higher","Read notes, read headings in a book, and look at diagrams and illustrations.","Like to watch a video about it.","A book with lots of conversation.",30,20,"Delaware"
307,"Introvert","Intuition","Feeling","Judging","Turbulent","Carter","Treatment","Female","31 to 45-years old","Master’s degree or higher","Read notes, read headings in a book, and look at diagrams and illustrations.","Like to watch a video about it.","A book with lots of pictures.",23,6,"Delaware"
308,"Introvert","Intuition","Thinking","Perceiving","Assertive","Carter","Control","Male","18 to 30-years old","Bachelor’s degree","Write things out on index cards, make models or diagrams.","Like to watch a video about it.","A book with lots of conversation.",21,13,"Delaware"
309,"Extravert","Intuition","Thinking","Perceiving","Assertive","Carter","Treatment","Male","18 to 30-years old","Master’s degree or higher","Read notes, read headings in a book, and look at diagrams and illustrations.","Like to watch a video about it.","A book with lots of pictures.",28,16,"Delaware"
314,"Extravert","Sensing","Feeling","Judging","Turbulent","Carter","Treatment","Female","18 to 30-years old","Master’s degree or higher","Read notes, read headings in a book, and look at diagrams and illustrations.","Like to watch a video about it.","A book with lots of pictures.",26,12,"Delaware"
102,"Extravert","Intuition","Feeling","Judging","Turbulent","Minhchau","Control","Male","31 to 45-years old","Bachelor’s degree","Write things out on index cards, make models or diagrams.","Take it apart and try to figure it out for yourself.","A book with lots of conversation.",25,10,"California"
106,"Extravert","Intuition","Feeling","Judging","Assertive","Minhchau","Treatment","","18 to 30-years old","Bachelor’s degree","Write things out on index cards, make models or diagrams.","Like to watch a video about it.","A book with lots of conversation.",27,21,"California"
